N	10000
lakossag	10000
alfa (megbetegedesi valoszinuseg)	0.300000
beta (gyogyulasi valoszinuseg)	0.100000
gamma (oltva megbetegedesi valoszinuseg)	0.000000
veletlen_keveredes	1
idoegyseg	beteg	erzekeny	gyogyult
6140	13	9986	1
6150	13	9986	1
6160	13	9986	1
6170	13	9986	1
6180	13	9986	1
6190	13	9986	1
6200	13	9986	1
6210	13	9986	1
6220	13	9986	1
6230	13	9986	1
6240	13	9986	1
6250	13	9986	1
6260	13	9986	1
6270	13	9986	1
6280	13	9986	1
6290	13	9986	1
6300	13	9986	1
6310	13	9986	1
6320	13	9986	1
6330	13	9986	1
6340	13	9986	1
6350	13	9986	1
6360	13	9986	1
6370	13	9986	1
6380	13	9986	1
6390	13	9986	1
6400	13	9986	1
6410	13	9986	1
6420	13	9986	1
6430	13	9986	1
6440	13	9986	1
6450	13	9986	1
6460	13	9986	1
6470	13	9986	1
6480	13	9986	1
6490	13	9986	1
6500	13	9986	1
6510	13	9986	1
6520	13	9986	1
6530	13	9986	1
6540	13	9986	1
6550	13	9986	1
6560	13	9986	1
6570	13	9986	1
6580	13	9986	1
6590	13	9986	1
6600	13	9986	1
6610	13	9986	1
6620	13	9986	1
6630	13	9986	1
6640	13	9986	1
6650	13	9986	1
6660	13	9986	1
6670	13	9986	1
6680	13	9986	1
6690	13	9986	1
6700	13	9986	1
6710	13	9986	1
6720	13	9986	1
6730	13	9986	1
6740	13	9986	1
6750	13	9986	1
6760	13	9986	1
6770	13	9986	1
6780	13	9986	1
6790	13	9986	1
6800	13	9986	1
6810	13	9986	1
6820	13	9986	1
6830	13	9986	1
6840	14	9985	1
6850	14	9985	1
6860	14	9985	1
6870	14	9985	1
6880	14	9985	1
6890	14	9985	1
6900	14	9985	1
6910	14	9985	1
6920	14	9985	1
6930	14	9985	1
6940	14	9985	1
6950	14	9985	1
6960	14	9985	1
6970	14	9985	1
6980	14	9985	1
6990	14	9985	1
7000	14	9985	1
7010	14	9985	1
7020	14	9985	1
7030	14	9985	1
7040	14	9985	1
7050	14	9985	1
7060	14	9985	1
7070	14	9985	1
7080	14	9985	1
7090	14	9985	1
7100	14	9985	1
7110	14	9985	1
7120	14	9985	1
7130	15	9984	1
7140	15	9984	1
7150	15	9984	1
7160	15	9984	1
7170	15	9984	1
7180	15	9984	1
7190	15	9984	1
7200	15	9984	1
7210	15	9984	1
7220	15	9984	1
7230	15	9984	1
7240	15	9984	1
7250	15	9984	1
7260	15	9984	1
7270	15	9984	1
7280	15	9984	1
7290	15	9984	1
7300	15	9984	1
7310	15	9984	1
7320	15	9984	1
7330	15	9984	1
7340	15	9984	1
7350	15	9984	1
7360	15	9984	1
7370	15	9984	1
7380	15	9984	1
7390	15	9984	1
7400	15	9984	1
7410	15	9984	1
7420	15	9984	1
7430	15	9984	1
7440	15	9984	1
7450	15	9984	1
7460	15	9984	1
7470	15	9984	1
7480	15	9984	1
7490	15	9984	1
7500	15	9984	1
7510	15	9984	1
7520	16	9983	1
7530	16	9983	1
7540	16	9983	1
7550	16	9983	1
7560	16	9983	1
7570	16	9983	1
7580	16	9983	1
7590	16	9983	1
7600	16	9983	1
7610	16	9983	1
7620	16	9983	1
7630	16	9983	1
7640	16	9983	1
7650	16	9983	1
7660	16	9983	1
7670	16	9983	1
7680	16	9983	1
7690	16	9983	1
7700	16	9983	1
7710	16	9983	1
7720	16	9983	1
7730	16	9983	1
7740	16	9983	1
7750	16	9983	1
7760	16	9983	1
7770	16	9983	1
7780	16	9983	1
7790	16	9983	1
7800	16	9983	1
7810	16	9983	1
7820	16	9983	1
7830	16	9983	1
7840	16	9983	1
7850	16	9983	1
7860	16	9983	1
7870	16	9983	1
7880	16	9983	1
7890	16	9983	1
7900	16	9983	1
7910	16	9983	1
7920	16	9983	1
7930	16	9983	1
7940	16	9983	1
7950	16	9983	1
7960	16	9983	1
7970	16	9983	1
7980	16	9983	1
7990	16	9983	1
8000	16	9983	1
8010	16	9983	1
8020	16	9983	1
8030	16	9983	1
8040	16	9983	1
8050	16	9983	1
8060	16	9983	1
8070	16	9983	1
8080	16	9983	1
8090	16	9983	1
8100	16	9983	1
8110	16	9983	1
8120	16	9983	1
8130	16	9983	1
8140	16	9983	1
8150	16	9983	1
8160	16	9983	1
8170	16	9983	1
8180	16	9983	1
8190	16	9983	1
8200	16	9983	1
8210	16	9983	1
8220	16	9983	1
8230	16	9983	1
8240	16	9983	1
8250	16	9983	1
8260	16	9983	1
8270	16	9983	1
8280	16	9983	1
8290	16	9983	1
8300	16	9983	1
8310	16	9983	1
8320	16	9983	1
8330	16	9983	1
8340	16	9983	1
8350	16	9983	1
8360	16	9983	1
8370	16	9983	1
8380	16	9983	1
8390	16	9983	1
8400	16	9983	1
8410	16	9983	1
8420	16	9983	1
8430	16	9983	1
8440	16	9983	1
8450	16	9983	1
8460	16	9983	1
8470	16	9983	1
8480	16	9983	1
8490	16	9983	1
8500	16	9983	1
8510	16	9983	1
8520	16	9983	1
8530	16	9983	1
8540	16	9983	1
8550	16	9983	1
8560	16	9983	1
8570	16	9983	1
8580	16	9983	1
8590	16	9983	1
8600	16	9983	1
8610	16	9983	1
8620	16	9983	1
8630	16	9983	1
8640	16	9983	1
8650	16	9983	1
8660	16	9983	1
8670	16	9983	1
8680	16	9983	1
8690	16	9983	1
8700	16	9983	1
8710	16	9983	1
8720	16	9983	1
8730	16	9983	1
8740	16	9983	1
8750	16	9983	1
8760	16	9983	1
8770	16	9983	1
8780	16	9983	1
8790	16	9983	1
8800	16	9983	1
8810	16	9983	1
8820	16	9983	1
8830	16	9983	1
8840	16	9983	1
8850	16	9983	1
8860	16	9983	1
8870	16	9983	1
8880	16	9983	1
8890	16	9983	1
8900	16	9983	1
8910	16	9983	1
8920	16	9983	1
8930	16	9983	1
8940	16	9983	1
8950	16	9983	1
8960	16	9983	1
8970	16	9983	1
8980	16	9983	1
8990	16	9983	1
9000	16	9983	1
9010	16	9983	1
9020	16	9983	1
9030	16	9983	1
9040	16	9983	1
9050	16	9983	1
9060	16	9983	1
9070	16	9983	1
9080	16	9983	1
9090	16	9983	1
9100	16	9983	1
9110	16	9983	1
9120	16	9983	1
9130	16	9983	1
9140	16	9983	1
9150	16	9983	1
9160	16	9983	1
9170	16	9983	1
9180	16	9983	1
9190	16	9983	1
9200	16	9983	1
9210	16	9983	1
9220	16	9983	1
9230	16	9983	1
9240	16	9983	1
9250	16	9983	1
9260	16	9983	1
9270	16	9983	1
9280	16	9983	1
9290	16	9983	1
9300	16	9983	1
9310	16	9983	1
9320	16	9983	1
9330	16	9983	1
9340	16	9983	1
9350	16	9983	1
9360	16	9983	1
9370	16	9983	1
9380	16	9983	1
9390	16	9983	1
9400	16	9983	1
9410	16	9983	1
9420	16	9983	1
9430	16	9983	1
9440	16	9983	1
9450	16	9983	1
9460	16	9983	1
9470	16	9983	1
9480	16	9983	1
9490	16	9983	1
9500	16	9983	1
9510	16	9983	1
9520	16	9983	1
9530	16	9983	1
9540	16	9983	1
9550	16	9983	1
9560	16	9983	1
9570	16	9983	1
9580	16	9983	1
9590	16	9983	1
9600	16	9983	1
9610	16	9983	1
9620	16	9983	1
9630	16	9983	1
9640	16	9983	1
9650	16	9983	1
9660	16	9983	1
9670	16	9983	1
9680	16	9983	1
9690	16	9983	1
9700	16	9983	1
9710	16	9983	1
9720	16	9983	1
9730	16	9983	1
9740	16	9983	1
9750	16	9983	1
9760	16	9983	1
9770	16	9983	1
9780	16	9983	1
9790	16	9983	1
9800	16	9983	1
9810	16	9983	1
9820	16	9983	1
9830	16	9983	1
9840	16	9983	1
9850	16	9983	1
9860	16	9983	1
9870	16	9983	1
9880	16	9983	1
9890	16	9983	1
9900	16	9983	1
9910	16	9983	1
9920	16	9983	1
9930	16	9983	1
9940	16	9983	1
9950	16	9983	1
9960	16	9983	1
9970	16	9983	1
9980	16	9983	1
9990	16	9983	1

